INFO 2015-09-28 21:10:56,025 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 6-2015
INFO 2015-09-28 21:10:56,273 writers 25993 -1261003888 starting to write bonus for sale #5434
WARNING 2015-09-28 21:10:56,280 writers 25993 -1261003888 sale #5434 has no commission details
INFO 2015-09-28 21:10:56,288 writers 25993 -1261003888 starting to write bonus for sale #5435
WARNING 2015-09-28 21:10:56,294 writers 25993 -1261003888 sale #5435 has no commission details
INFO 2015-09-28 21:10:56,311 writers 25993 -1261003888 starting to write bonus for sale #5436
WARNING 2015-09-28 21:10:56,317 writers 25993 -1261003888 sale #5436 has no commission details
INFO 2015-09-28 21:10:56,325 writers 25993 -1261003888 starting to write bonus for sale #5437
WARNING 2015-09-28 21:10:56,340 writers 25993 -1261003888 sale #5437 has no commission details
INFO 2015-09-28 21:10:56,347 writers 25993 -1261003888 starting to write bonus for sale #5438
WARNING 2015-09-28 21:10:56,365 writers 25993 -1261003888 sale #5438 has no commission details
INFO 2015-09-28 21:10:56,372 writers 25993 -1261003888 starting to write bonus for sale #5439
WARNING 2015-09-28 21:10:56,379 writers 25993 -1261003888 sale #5439 has no commission details
INFO 2015-09-28 21:25:45,961 writers 25993 -1261003888 starting zilberAddsFlows
INFO 2015-09-28 21:26:09,622 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:26:09,623 writers 25993 -1261003888 {'base_madad': 126.90000000000001}
INFO 2015-09-28 21:26:09,623 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 8-2015
INFO 2015-09-28 21:26:10,413 writers 25993 -1261003888 starting to write bonus for sale #5607
INFO 2015-09-28 21:26:10,460 writers 25993 -1261003888 starting to write bonus for sale #5608
INFO 2015-09-28 21:26:10,479 writers 25993 -1261003888 starting to write bonus for sale #5609
INFO 2015-09-28 21:26:10,497 writers 25993 -1261003888 starting to write bonus for sale #5610
INFO 2015-09-28 21:26:10,515 writers 25993 -1261003888 starting to write bonus for sale #5611
INFO 2015-09-28 21:26:10,561 writers 25993 -1261003888 starting to write bonus for sale #5612
INFO 2015-09-28 21:26:10,580 writers 25993 -1261003888 starting to write bonus for sale #5613
INFO 2015-09-28 21:26:10,601 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 7-2015
INFO 2015-09-28 21:26:10,895 writers 25993 -1261003888 starting to write bonus for sale #5538
